Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Actual,Predicted
3.0,0.0,28.0,1.0,1.0,15.2458,0.0,1,0
3.0,1.0,14.0,1.0,0.0,11.241700000000002,0.0,1,0
1.0,0.0,42.0,1.0,0.0,52.5542,2.0,1,0
1.0,0.0,34.0,0.0,0.0,26.55,2.0,1,0
3.0,1.0,19.0,1.0,0.0,7.854199999999999,2.0,1,0
2.0,0.0,31.0,0.0,0.0,13.0,2.0,1,0
1.0,0.0,28.0,0.0,0.0,30.6958,0.0,0,1
3.0,1.0,28.0,0.0,0.0,7.550000000000001,2.0,0,1
3.0,0.0,18.0,0.0,0.0,8.05,2.0,1,0
1.0,0.0,28.0,0.0,0.0,35.5,2.0,1,0
3.0,1.0,19.0,0.0,0.0,7.879200000000001,1.0,1,0
2.0,1.0,57.0,0.0,0.0,10.5,2.0,0,1
2.0,1.0,26.0,1.0,1.0,26.0,2.0,0,1
3.0,1.0,30.5,0.0,0.0,7.75,1.0,0,1
2.0,1.0,38.0,0.0,0.0,13.0,2.0,0,1
3.0,1.0,41.0,0.0,2.0,20.2125,2.0,0,1
1.0,0.0,56.0,0.0,0.0,30.6958,0.0,0,1
3.0,0.0,9.0,0.0,2.0,20.525,2.0,1,0
1.0,0.0,48.0,1.0,0.0,52.0,2.0,1,0
3.0,0.0,45.0,0.0,0.0,8.05,2.0,1,0
3.0,0.0,30.0,0.0,0.0,9.5,2.0,1,0
1.0,0.0,40.0,0.0,0.0,31.0,0.0,1,0
1.0,0.0,35.0,0.0,0.0,26.55,0.0,1,0
3.0,0.0,28.0,1.0,1.0,15.2458,0.0,1,0
3.0,1.0,15.0,1.0,0.0,14.4542,0.0,1,0
2.0,1.0,44.0,1.0,0.0,26.0,2.0,0,1
3.0,0.0,28.0,0.0,0.0,56.4958,2.0,1,0
3.0,1.0,32.0,1.0,1.0,15.5,1.0,0,1
1.0,0.0,28.0,0.0,0.0,26.55,2.0,1,0
1.0,0.0,23.0,0.0,1.0,63.3583,0.0,1,0
3.0,1.0,9.0,1.0,1.0,15.2458,0.0,0,1
3.0,1.0,38.0,1.0,5.0,31.3875,2.0,1,0
